id;Name;Summary;Positive Reviews
364;Hitman: Absolution;IoInteractive AS Action Stealth Action Third Person Assassin Singleplayer ThirdPerson Shooter Tactical Crime Story Rich Cinematic Multiplayer Difficult Atmospheric Adventure Strategy Score Attack Linear Controller ;36095
365;STAR WARS Battlefront II;DICE Electronic Arts Action Adventure Multiplayer Shooter Singleplayer FPS Action ThirdPerson Space Scifi Coop Combat Vehicular Online CoOp FirstPerson Adventure Third Person PvP Aliens Tactical Controller Character Customization ;36039
366;Far Cry 4;Ubisoft Montreal Red Storm Shanghai Toronto Kiev Action Adventure Open World Action FPS Coop Adventure Shooter FirstPerson Multiplayer Singleplayer Hunting Stealth Atmospheric Survival Online CoOp Story Rich Exploration Crafting Sandbox RPG Action ;35946
367;Age of Empires IV: Anniversary Edition;Relic Entertainment Worlds Edge Xbox Game Strategy Strategy RTS Multiplayer Medieval Singleplayer War Resource Management BaseBuilding Historical City Builder Action PvP PvE D Coop Isometric Open World Online CoOp Mature ;35911
368;Remnant: From the Ashes;Gunfire Games Perfect World Entertainment Action Adventure RPG Soulslike Action RPG Coop Adventure ThirdPerson Shooter Multiplayer Online CoOp Postapocalyptic Survival Difficult Lovecraftian Singleplayer Dark Fantasy Violent Horror Procedural Generation Atmospheric ;35856
369;PAYDAY Heist;OVERKILL Software Daybreak Game Company Action FPS Action Coop Heist Multiplayer Crime Online CoOp Shooter FirstPerson Great Soundtrack TeamBased Stealth Difficult Tactical Strategy Singleplayer Simulation RPG Indie Adventure ;35812
370;Realm of the Mad God Exalt;Wild Shadow s Deca Games Action Play Indie mmo RPG Action Roguelike Pixel Graphics Roguelike Roguelite Difficult Indie Perma Death D RPG MMORPG Bullet Hell Play Action mmo Multiplayer Coop Adventure Online CoOp Fantasy ;35690
371;My Time At Portia;Pathea Games Team Adventure Casual Indie RPG Simulation RPG Life Sim Open World Farming Crafting Simulation Casual Adventure Singleplayer Agriculture Building Sandbox Indie Relaxing Mining Exploration Survival Cartoony Postapocalyptic Female Protagonist ;35666
372;GTFO; Chambers Action Horror Online CoOp Coop FPS Shooter Difficult Multiplayer Survival Action Stealth Tactical Gore TeamBased FirstPerson Character Customization Zombies PvE Violent Atmospheric ;35544
373;Pummel Party;Rebuilt Games Action Casual Multiplayer Funny Online CoOp Player Local Board Game Casual Local Coop Minigames Party Indie Party Action Comedy Tabletop Controller Gore Colorful Singleplayer ;35543
374;FINAL FANTASY XV WINDOWS EDITION;Square Enix RPG RPG Open World JRPG Fantasy Story Rich Great Soundtrack Singleplayer Adventure Action Multiplayer Action Third Person Anime Hack Slash Atmospheric Online CoOp Coop Violent FirstPerson Nudity ;35525
375;Wolcen: Lords of Mayhem;WOLCEN Action Adventure Indie RPG Hack Slash Action RPG Isometric Multiplayer Action Adventure Loot Indie Coop Character Customization Singleplayer Dungeon Crawler Fantasy Medieval Dark Online CoOp TopDown Controller Difficult ;35435
376;BioShock Remastered;K Boston Australia Blind Squirrel Feral Interactive Mac K Action RPG FPS Story Rich Atmospheric Horror Singleplayer FirstPerson Action Dystopian Shooter Underwater Scifi Steampunk Dark Adventure RPG Classic Remake Great Soundtrack Alternate History Immersive Sim ;35292
377;DARK SOULS II;FromSoftware Inc BANDAI NAMCO Entertainment Action RPG Soulslike RPG Dark Fantasy Difficult Action Action Unforgiving Adventure Exploration Atmospheric Coop Multiplayer Epic Immersive PvP Third Person Open World Dark ;35291
378;Banished;Shining Rock Software LLC Indie Simulation Strategy City Builder Colony Sim Strategy Simulation Survival Indie Singleplayer Sandbox Medieval Relaxing Resource Management Economy Building Open World Difficult Beautiful Procedural Generation Historical RTS ;35024
379;Gang Beasts;Boneloaf Coatsink Boneloaf Action Adventure Casual Indie Simulation Funny Physics Multiplayer Colorful Party Game Party Local Fighting Comedy D Fighter Casual Soundtrack Player Local Coop Family Friendly beatemup Memes Third Person Indie Singleplayer ;34926
380;Blade and Sorcery;WarpFrog Action Adventure Indie RPG Simulation VR Swordplay Action Gore Moddable Violent Magic Sandbox Simulation Physics Fighting Medieval Singleplayer FirstPerson Adventure Fantasy Indie RPG Games Workshop VR Only ;34904
381;Assassin's Creed 2;Ubisoft Montreal Action Adventure Action Open World Parkour Assassin Adventure Stealth Third Person Historical Story Rich Singleplayer Great Soundtrack Atmospheric Conspiracy ActionAdventure Multiplayer Classic Controller Alternate History Sandbox Scifi ;34859
382;Eternal Return: Black Survival;Nimble Neuron Kakao Games Europe BV EUNAOCE Excluding EUNAOCE Play Indie Strategy Play Anime MOBA Multiplayer Survival PvP TopDown Combat Crafting Strategy Tactical D Action Indie Character Customization Experimental pointclick Sexual Content MMORPG ;34773
383;Call of Duty: Modern Warfare II;Infinity Ward Raven Software Beenox Treyarch High Moon s Sledgehammer Games Activision Shanghai Demonware Toys Bob Action FPS Action Shooter Multiplayer Military Singleplayer FirstPerson Modern War Tactical Story Rich Realistic Violent Coop Atmospheric Mature Online CoOp Gore ThirdPerson Third Person ;34726
384;They Are Billions;Numantian Games Strategy BaseBuilding Colony Sim Strategy Zombies Survival RTS Tower Defense City Builder Steampunk Building Postapocalyptic Singleplayer Resource Management RealTime Pause Difficult Tactical Indie Isometric ;34658
385;Loadout;Edge Reality Action Play Play ThirdPerson Shooter Action Gore Multiplayer Gun Customization Funny FastPaced Indie Comedy Mature Character Third Person Blood Cartoony mmo Coop Crafting Arena ;34581
386;Skul: Hero Slayer;SouthPAW Games NEOWIZ Action Indie Action Action Roguelike Pixel Graphics Roguelite D Roguelike Singleplayer Platformer Adventure Difficult Hack Slash Villain Protagonist Side Scroller Metroidvania ActionAdventure Fantasy Story Rich Cute Multiplayer ;34494
387;Outlast 2;Red Barrels Action Adventure Horror Psychological Survival FirstPerson Gore Singleplayer Dark Atmospheric Violent Survival Mature Action Adventure Nudity Story Rich Sexual Content Multiplayer Parkour Indie FPS ;34388
388;A Way Out;Hazelight Electronic Arts Action Adventure Coop Online CoOp Split Screen Story Rich Local ActionAdventure Action Adventure Third Person Crime Multiplayer Emotional Conversation Atmospheric Nudity Cinematic Sexual Content Violent Singleplayer Indie ;34191
389;Game Dev Tycoon;Greenheart Games Casual Indie Simulation Strategy Management Simulation Indie Strategy Casual Singleplayer Economy D Moddable Addictive Sandbox GameMaker Funny Difficult pointclick Great Soundtrack Comedy TouchFriendly Isometric ;34126
390;Alan Wake;Remedy Entertainment Action Adventure Action Horror Adventure Third Person Story Rich Thriller Atmospheric Singleplayer Psychological Great Soundtrack Mystery Episodic ThirdPerson Shooter Dark Supernatural Cinematic Narration Survival Survival ;34015
391;Call of Duty: Black Ops II;Treyarch Activision Action Action Multiplayer FPS Shooter FirstPerson Singleplayer Coop War Online CoOp TeamBased Futuristic Survival Controller Tactical Adventure Great Soundtrack Scifi mmo Horror Atmospheric ;34011
392;World of Tanks;Wargaming Group Limited Action Play mmo Simulation Tanks Play Action Vehicular Combat mmo Military PvP Multiplayer TeamBased War Historical Tactical Simulation World Wartwo Coop Realistic Shooter Third Person ThirdPerson PvE ;33919
393;Poppy Playtime;MOB Games Action Adventure Horror Singleplayer FirstPerson Puzzle Survival Dark Multiplayer Mystery Survival Indie Play Psychological s LoreRich Thriller Atmospheric Adventure Action Cartoony ActionAdventure ;33903
394;Fishing Planet;Fishing Planet LLC Play mmo Simulation Sports Fishing Play Multiplayer Simulation Sports Relaxing Realistic mmo FirstPerson Coop Open World Singleplayer Online CoOp Family Friendly Adventure Casual VR Action MMORPG FPS ;33731
395;Bastion;Supergiant Games Action Indie RPG Great Soundtrack Indie Action Narration Singleplayer RPG Hack Slash Story Rich Dynamic Isometric Adventure Action Fantasy Atmospheric Colorful Postapocalyptic D Music Twin Stick Shooter Controller ;33708
396;Evolve Stage 2;Turtle Rock K Action Action Multiplayer Coop FPS Online CoOp Shooter TeamBased Survival Scifi Aliens PvP FirstPerson ClassBased Strategy Atmospheric Third Person Tactical Singleplayer Stealth Casual ;33694
397;DiRT Rally;Codemasters Feral Interactive Linux Mac Mac Electronic Arts Racing Simulation Sports Racing Simulation Automobile Sim Driving Multiplayer Realistic Offroad Difficult Singleplayer VR Sports FirstPerson Action Atmospheric FastPaced Coop D Vision TrackIR Open World Family Friendly ;33548
398;DRAGON BALL Z: KAKAROT;CyberConnect Co Ltd BANDAI NAMCO Entertainment Action RPG Action RPG Anime Open World Multiplayer Fighting Singleplayer Story Rich Adventure JRPG Controller Great Soundtrack Action Fantasy beatemup Dragons Difficult Atmospheric Third Person Nudity ;33523
399;Five Nights at Freddy's: Security Breach;Steel Wool ScottGames Action Adventure Horror Survival Singleplayer Robots Stealth Exploration Multiple Endings FirstPerson D Action Adventure Indie Artificial Intelligence Story Rich Thriller ActionAdventure Colorful Family Friendly Cartoony Atmospheric ;33496
400;SteamVR;Valve Warner Bros Interactive Entertainment nan VR Software Play Simulation Psychological Horror FirstPerson Sexual Content Beautiful Hentai Atmospheric Anime Nudity Family Friendly LGBTQ Funny Memes Action Female Protagonist Gore ;33379
401;Red Orchestra 2: Heroes of Stalingrad with Rising Storm;Tripwire Interactive Action mmo Simulation Realistic World Wartwo FPS Multiplayer Historical Action Tactical FirstPerson Shooter Military TeamBased War Simulation Atmospheric Tanks Gore Singleplayer Difficult Coop Strategy ;33299
402;Life is Strange: Before the Storm;Deck Nine Feral Interactive Mac Linux Square Enix Action Adventure Story Rich Choices Matter Great Soundtrack Female Protagonist Atmospheric Singleplayer Episodic Adventure Choose Your Own Multiple Endings Third Person Drama Mystery Action Indie Walking Simulator LGBTQ pointclick Psychological Horror Memes ;33251
403;Farming Simulator 22;Giants Software Simulation Simulation Coop Farming Sim Agriculture Moddable Management Sandbox Multiplayer D Immersive FirstPerson Character Customization Economy Online CoOp Family Friendly Open World Third Person Nature America Horses ;33215
404;The Henry Stickmin Collection;PuffballsUnited Innersloth Adventure Casual Funny Choose Your Own Adventure Multiple Endings Memes Comedy Classic Singleplayer Choices Matter pointclick D Epic Handdrawn Family Friendly Indie Action Casual Parody Interactive Fiction Old School ;32913
405;Duck Game;Landon Podbielski Adult Swim Games Action Multiplayer Funny Pixel Graphics Local Action D Player Local Platformer Indie FastPaced Comedy Shooter Competitive Retro CoOp Great Soundtrack Coop Memes Casual s ;32694
406;Men of War: Assault Squad 2;Digitalmindsoft Fulqrum Publishing Action Simulation Strategy Strategy World Wartwo War Simulation RTS Action Tactical Military Multiplayer Real Time Tactics Realistic Tanks Historical Coop Destruction Singleplayer Atmospheric Difficult Classic Adventure ;32617
407;Barotrauma;FakeFish Undertow Games Daedalic Entertainment Action Indie Simulation Strategy Coop Multiplayer Survival Submarine Survival Horror D Simulation Underwater Scifi Strategy Action Management Difficult Gore Moddable Violent Singleplayer Naval ;32350
408;DRAGON BALL XENOVERSE 2;QLOC DIMPS BANDAI NAMCO Entertainment Action Adventure Casual mmo Anime Fighting Character Customization Action Multiplayer Adventure mmo Coop RPG Singleplayer Online CoOp Third Person Open World Story Rich MMORPG beatemup Great Soundtrack Casual Moddable Dragons ;32299
409;Pavlov VR;Vankrupt Games Action Indie VR Shooter Action Multiplayer FPS Military Zombies Gore FirstPerson Funny Singleplayer Violent Coop Indie Competitive Memes PvP TeamBased Simulation VR Only ;32206
410;State of Decay 2: Juggernaut Edition;Undead Labs Xbox Game Action RPG Simulation Survival Open World Zombies BaseBuilding Multiplayer Coop Online CoOp Postapocalyptic Simulation Action RPG Sandbox Third Person Gore Violent Singleplayer Horror Perma Death Atmospheric ;32200
411;Five Nights at Freddy's;Scott Cawthon Indie Simulation Horror Singleplayer Survival Robots Psychological Difficult Indie FirstPerson pointclick Dark Survival Atmospheric Mouse only Supernatural Resource Management Silent Protagonist Jump Scare LoreRich Short Historical ;32089
412;Yu-Gi-Oh! Duel Links;Konami Digital Entertainment Play Strategy Play Card Game Anime Strategy Multiplayer Trading Singleplayer TurnBased Competitive Casual RPG Memes Online CoOp Great Soundtrack Action Adventure Simulation mmo Psychological Horror MMORPG ;32036
413;Microsoft Flight Simulator Game of the Year Edition;Asobo Xbox Game Simulation Simulation Flight Open World Realistic Multiplayer Singleplayer Atmospheric VR Physics RealTime Adventure Colorful Family Friendly TrackIR Beautiful Surreal Short Epic Controller Psychological Horror ;31926
414;SOMA;Frictional Games Action Adventure Horror Survival Psychological Exploration Gore Dark Atmospheric Lovecraftian Puzzle FirstPerson Adventure Indie Scifi Singleplayer Action Walking Simulator Story Rich Mystery Drama Philosophical ;31888
415;Resident Evil 6;Capcom Action Adventure Action Zombies Coop ThirdPerson Shooter Horror Coop Campaign Adventure Online CoOp Multiplayer Third Person QuickTime Events Split Screen Local Survival Survival Singleplayer Atmospheric Female Protagonist Casual ;31665
416;SpeedRunners;DoubleDutch Games tinyBuild Action Casual Indie Racing Sports Multiplayer Racing Local Indie Competitive FastPaced Platformer Action D Player Local Funny Parkour Sports Controller CoOp Coop Level Editor Singleplayer Arcade Superhero ;31580
417;Shadow Tactics: Blades of the Shogun;Mimimi Games Daedalic Entertainment Indie Strategy Stealth Strategy Tactical Ninja Real Time Tactics Singleplayer Indie Isometric Historical Action Assassin RTS Difficult Violent Atmospheric Third Person Survival Adventure Puzzle Great Soundtrack ;31192
418;Super Animal Royale;Pixile Modus Games Action Adventure Casual Play Indie mmo Battle Royale Cute Play Multiplayer mmo Casual Shooter Action Indie D TopDown Funny Adventure Coop Online CoOp Psychological Horror Survival TopDown Family Friendly ;31189
419;Town of Salem;BlankMediaGames Indie RPG Strategy Multiplayer Strategy Mystery Indie RPG Social Deduction Casual Werewolves Funny Coop Great Soundtrack Tactical Survival Board Game D mmo Memes Comedy Family Friendly Action ;31050
420;Fistful of Frags;Fistful Frags Team Action Play Play FPS Multiplayer Western Shooter Action FirstPerson Funny Indie Mod Online CoOp Coop Comedy Survival mmo Classic Historical Simulation Adventure RPG ;30986
421;Verdun;MH Blackmill Games MH Action Indie mmo Simulation Strategy Shooter PvP Coop World War I Action mmo FPS FirstPerson Strategy Historical Multiplayer Wargame Horror War Atmospheric Realistic Simulation Military Gore Tactical ;30953
422;UNO;Ubisoft Entertainment Casual Card Game Multiplayer Tabletop Board Casual Family Friendly Funny Strategy Coop Online CoOp Singleplayer Classic War Cult TeamBased Local Action Party PvP ;30917
423;Grimm;Spicyhorse Games Casual Indie Play Villain Protagonist Funny Casual Fantasy Comedy Adventure Episodic Singleplayer Action Third Person Trading Card Game D Platformer Cute Horror Dark Humor Puzzle ;30911
424;Bloodstained: Ritual of the Night;Art Games Action Adventure RPG Metroidvania RPG Action Female Protagonist Adventure Anime Side Scroller D Platformer Great Soundtrack Dark Fantasy Gothic Exploration Singleplayer Crafting D Difficult Nudity Sexual Content Indie ;30773
425;Fallout 3: Game of the Year Edition;Bethesda Game Softworks RPG Open World RPG Postapocalyptic Singleplayer Moddable FirstPerson Scifi FPS Action Adventure Exploration Atmospheric Third Person Sandbox Story Rich Shooter Cult Classic Action Great Soundtrack ;30657
426;OneShot;Future Cat LLC Komodo Adventure Casual Story Rich Pixel Graphics Great Soundtrack Indie Cute Atmospheric Choices Matter Puzzle Singleplayer Adventure Multiple Endings RPGMaker D RPG Surreal Exploration Casual Psychological Horror Anime ;30623
427;Mirror 2: Project X;KAGAMI Ⅱ WORKs NIJICO Adventure Indie RPG D Match Anime Female Protagonist Drama Visual Novel Interactive Fiction Multiple Endings Singleplayer FPS RPG Casual Story Rich FMV Colorful Adventure Indie D Platformer Shooter ;30557
428;NBA 2K20;Visual Concepts K Simulation Sports Basketball Sports Simulation Multiplayer Singleplayer Capitalism Loot Casual Local Character Customization Controller mmo Realistic ;30542
429;Battlefield: Bad Company 2;DICE Electronic Arts Action FPS Multiplayer Action Shooter War TeamBased FirstPerson Destruction Singleplayer Military Coop Tactical Atmospheric Open World Classic Combat Comedy Adventure Vehicular Fighting ;30493
430;Borderlands: Pre-Sequel;K Australia Gearbox Software Aspyr Linux K Action RPG Looter Shooter Coop FPS Action Comedy Loot RPG Open World Multiplayer Funny Online CoOp FirstPerson Space Adventure Scifi Action Singleplayer Memes Atmospheric ;30440
431;S.T.A.L.K.E.R.: Shadow of Chernobyl;GSC Game World Action RPG Atmospheric Postapocalyptic Open World FPS Survival Action RPG Shooter Survival Horror FirstPerson Singleplayer Classic Based On A Novel Moddable Adventure Immersive Scifi Inventory Management Difficult ;30213
432;HITMAN;IO Interactive AS Feral Linux Mac Action Stealth Action Assassin Third Person Singleplayer Tactical Shooter Open World Atmospheric Crime Sandbox Strategy Story Rich Episodic ThirdPerson Great Soundtrack Adventure Heist Illuminati Nudity ;29985
433;Half-Life 2: Episode Two;Valve Action FPS Action Scifi Singleplayer Shooter Story Rich FirstPerson Classic Adventure Aliens Atmospheric Zombies Silent Protagonist Dystopian Great Soundtrack Postapocalyptic Episodic Puzzle Horror Multiplayer ;29977
434;Pacify;Shawn Hitchcock Games Action Adventure Casual Indie Strategy Horror Multiplayer Coop Survival Online CoOp Psychological Thriller Action Indie Adventure Dark FirstPerson Singleplayer Gore Strategy Puzzle Casual Atmospheric PvP Sexual Content ;29957
435;Cult of the Lamb;Massive Monster Devolver Digital Action Adventure Indie Strategy Character Customization Cute Action Roguelike BaseBuilding Roguelite Dungeon Crawler Building Dark Humor Singleplayer Colony Sim Funny Action Faith D Adventure Fantasy Controller Strategy Colorful Third Person ;29893
436;GUILTY GEAR -STRIVE-;Arc System Works Action D Fighter Fighting Anime Great Soundtrack D PvP Arcade LoreRich Action D D Story Rich Multiplayer Fantasy Local Drama Casual Cinematic Combat Singleplayer ;29860
437;CRSED: F.O.A.D.;Darkflow Software Gaijin Distribution KFT Action Play mmo Battle Royale Play Open World Multiplayer Survival World Wartwo Hero Shooter Memes Action FPS mmo Zombies ThirdPerson PvP Violent FirstPerson Realistic Atmospheric Third Person ;29753
438;Temtem;Crema Humble Games Adventure Indie mmo RPG Creature Collector MMORPG TurnBased Tactics Character Customization Collectathon JRPG Adventure Anime PvP Exploration Colorful Combat RPG PvE Cute D Third Person Story Rich TopDown Cartoony ;29743
439;F1 2021;Codemasters Electronic Arts Racing Simulation Sports Racing Driving Sports Immersive Sim Automobile PvP Controller Split Screen Simulation esports D Realistic Multiplayer Coop Local VR Cinematic Online CoOp Singleplayer Arcade ;29500
440;BONEWORKS;Stress Level Zero Action Adventure Indie Simulation VR Physics Action Sandbox Shooter Singleplayer Adventure Puzzle Great Soundtrack FirstPerson Simulation Realistic Indie FPS Violent Horror Parkour Scifi Gore Funny VR Only ;29386
441;Control Ultimate Edition;Remedy Entertainment Games Action Adventure Action Adventure Female Protagonist Supernatural Story Rich Third Person Horror Scifi Atmospheric ThirdPerson Shooter Singleplayer Surreal Psychological Metroidvania Open World Epic Violent Difficult Great Soundtrack ;29384
442;VA-11 Hall-A: Cyberpunk Bartender Action;Sukeban Games Ysbryd Games AGM PLAYISM Adventure Indie Simulation Cyberpunk Visual Novel Pixel Graphics Story Rich Female Protagonist Dystopian LGBTQ Choices Matter pointclick Casual Simulation Memes Transhumanism Anime Adventure D Life Sim Cute Funny Scifi ;29369
443;Forager;HopFrog Humble Games Action Adventure Indie Simulation Open World Survival Craft Survival Pixel Graphics Crafting Indie Farming Sim Sandbox Adventure D BaseBuilding Multiplayer Singleplayer Resource Management Building World Exploration RPG Casual Agriculture Simulation ;29043
444;Hand Simulator;HFM Games Simulation Simulation Funny Multiplayer Difficult VR FirstPerson Psychological Horror Memes Comedy Intentionally Awkward Controls Action FPS Sexual Content Nudity Singleplayer Atmospheric World Wartwo Open World Shooter ;29035
445;Stormworks: Build and Rescue;Geometa Simulation Sandbox Building Flight Open World Exploration Sailing Programming World Survival Craft Immersive Sim BaseBuilding Survival Character Customization PvP Naval FirstPerson Tutorial Physics Trains Automation Crafting ;29003
446;SUPERHOT;SUPERHOT Team Action Action FPS Bullet Time Time Manipulation Indie Singleplayer FirstPerson Shooter Puzzle Minimalist Short Difficult Cyberpunk Kickstarter FastPaced Violent Scifi Casual Gore Adventure ;28959
447;Source Filmmaker;Valve Animation Modeling Video Production Modeling Production Play Software Movie Sandbox Difficult Funny Comedy Singleplayer Moddable Character Customization Memes Survival Horror Anime Games Workshop Great Soundtrack Sexual Content D Family Friendly ;28871
448;Super Meat Boy;Team Meat nan Precision Platformer Difficult Indie D Pixel Graphics D Singleplayer Great Soundtrack FastPaced Retro Controller Unforgiving Gore Action Time Attack Funny Comedy Side Scroller ;28851
449;Mass Effect Legendary Edition;BioWare Electronic Arts Action RPG Story Rich RPG Choices Matter Scifi Singleplayer Action ThirdPerson Shooter Space Action Character Customization Sexual Content Great Soundtrack Atmospheric Nudity Combat Military Female Protagonist Classic Tactical ;28834
450;ShellShock Live;kChamp Games Action Casual Indie mmo Strategy Tanks Multiplayer Strategy D Action TurnBased Shooter Casual Online CoOp mmo Indie Colorful Funny TurnBased Coop Singleplayer Physics Great Soundtrack Family Friendly ;28834
451;Bright Memory: Infinite;FYQD FYQD PLAYISM Action Action Female Protagonist Indie FPS Sexual Content Singleplayer Scifi FirstPerson Hack Slash Shooter Gore Violent Mature Soulslike Short Character Customization Multiplayer Swordplay Futuristic Realistic ;28787
452;Call of Juarez: Gunslinger;Techland Publishing Action Western FPS Action Shooter Singleplayer Story Rich Bullet Time Comedy FirstPerson Narration Adventure Dynamic Funny Violent Atmospheric Arcade America Gore Historical Alternate History ;28770
453;Bright Memory;FYQD FYQD PLAYISM Action Adventure Female Protagonist FPS Hack Slash Shooter FirstPerson Action Soulslike Open World Scifi Adventure Anime Singleplayer Multiplayer Indie Sexual Content Gore Violent Nudity Short ;28750
454;Mirror's Edge;DICE Electronic Arts Action Adventure ActionAdventure Parkour Exploration FirstPerson D Platformer Female Protagonist Singleplayer Puzzle Cyberpunk Action Colorful Stylized Dystopian Scifi Atmospheric Adventure Futuristic Great Soundtrack Time Attack ;28731
455;STAR WARS Empire at War - Gold Pack;Petroglyph LucasArts Lucasfilm Disney Strategy Strategy RTS Space Scifi Multiplayer Singleplayer Moddable Mod Tactical War Action Classic Great Soundtrack Grand Simulation Coop X Adventure Atmospheric Epic ;28719
456;Nioh 2 : Complete Edition;KOEI TECMO GAMES CO LTD Action RPG RPG Action Character Customization Soulslike Difficult Coop JRPG Multiplayer Fantasy Dark Historical Story Rich Violent Singleplayer Hack Slash Dark Medieval Atmospheric Gore Female Protagonist ;28672
457;Ultimate Chicken Horse;Clever Endeavour Games Action Casual Multiplayer Funny Platformer Local Level Editor Precision Player Local Casual Online CoOp Competitive Coop Family Friendly D Indie Parkour Cartoony D Action Cute Difficult ;28660
458;LEGO Star Wars: Skywalker Saga;TT Games Warner Bros Games Interactive Entertainment Action Adventure LEGO Adventure Open World Coop Multiplayer Space Action Scifi Singleplayer Funny Local CoOp Family Friendly Third Person Story Rich Epic Great Soundtrack Memes Beautiful Puzzle Soulslike ;28489
459;Amnesia: Dark Descent;Frictional Games Action Adventure Horror Gore Survival Psychological Atmospheric Puzzle FirstPerson Nudity Dark Adventure Lovecraftian Indie Singleplayer Action Exploration Stealth Walking Simulator Physics Surreal Story Rich ;28320
460;Call of Duty: Modern Warfare 3;Infinity Ward Sledgehammer Games Activision Action Action FPS Multiplayer Shooter FirstPerson War Singleplayer Online CoOp Military Coop Casual Story Rich Survival Controller Linear Adventure Zombies pointclick Dog mmo ;28298
461;Depth;Digital Confectioners Action Action Multiplayer Underwater Gore TeamBased Horror Survival PvP Coop FPS Shooter Hunting FirstPerson Survival Atmospheric Indie Exploration Simulation Adventure Singleplayer ;28286
462;Firework;Shiying Gamera Games Indie Horror Puzzle Drama D Mystery Atmospheric Singleplayer Psychological Handdrawn Visual Novel Thriller Old School Retro Supernatural RPG PuzzlePlatformer Conversation Narration TextBased ;28285
463;Call of Duty: Black Ops;Treyarch Activision Action Action FPS Zombies Multiplayer Shooter Singleplayer Cold War FirstPerson Military Online CoOp Coop Gore Story Rich Controller Adventure Linear Horror mmo Great Soundtrack ;28205
464;Football Manager 2020;Sports Interactive SEGA Simulation Simulation Sports Management Soccer Multiplayer Football Strategy Singleplayer ;28186
465;The Wolf Among Us;Telltale Action Adventure Casual Adventure Detective Story Rich Episodic pointclick Noir Mature Choose Your Own Comic Book Singleplayer Atmospheric Mystery Cinematic Dark WellWritten Fantasy Choices Matter QuickTime Events Great Soundtrack Nudity ;28169
466;Stranded Deep;Beam Team Games Publishing Adventure Open World Survival Craft Survival Multiplayer World Crafting FirstPerson Adventure Exploration Realistic Singleplayer Building Sandbox Coop Simulation Underwater Action Atmospheric Indie Strategy ;28163
467;Blood and Bacon;Big Corporation Grunge Games LTD Action Adventure Casual Gore Funny Multiplayer Shooter Action FPS Horror Coop Online CoOp Blood Memes FirstPerson Indie Adventure Singleplayer Psychological Survival Illuminati Survival Nudity ;28124
468;Ryse: Son of Rome;Crytek Action Hack Slash Action QuickTime Events Rome Third Person Historical Singleplayer Linear Adventure Gore War Atmospheric Nudity RPG Multiplayer Open World Coop Benchmark Short Fantasy ;27898
469;Age of Empires III (2007);Ensemble Xbox Game Simulation Strategy Strategy RTS BaseBuilding Multiplayer Historical Resource Management City Builder War Simulation RealTime Singleplayer Military Classic Building Open World Coop Action Online CoOp RealTime Pause Adventure ;27889
470;Deus Ex: Mankind Divided;Eidos Montreal Feral Interactive Linux Mac Square Enix Action RPG Cyberpunk Stealth RPG Scifi Action Story Rich Atmospheric Singleplayer Futuristic Illuminati FirstPerson FPS Great Soundtrack Shooter Open World Conspiracy Immersive Sim Dystopian Transhumanism Adventure ;27876
471;Loop Hero;Four Quarters Devolver Digital Indie RPG Strategy Tactical Deckbuilding Choices Matter Roguelike Pixel Graphics Indie Roguelite Card Game RPG Resource Management D Dark Fantasy Old School Story Rich Time TurnBased Tactics Minimalist Adventure ;27750
472;Wolfenstein II: New Colossus;Machine Games Bethesda Softworks Action FPS Action Singleplayer Gore Alternate History Violent FirstPerson Shooter World Wartwo Story Rich Nudity Scifi Stealth Comedy Atmospheric Adventure Dystopian Great Soundtrack Open World Multiplayer ;27630
473;Dragon's Dogma: Dark Arisen;Capcom Action Adventure RPG RPG Open World Character Customization Action Fantasy Adventure Singleplayer Action Dragons Third Person Dark Magic Exploration Atmospheric Great Soundtrack Story Rich Difficult JRPG Multiplayer Hack Slash ;27601
474;Wreckfest;Bugbear THQ Nordic Action Indie Racing Simulation Sports Racing Destruction Automobile Sim Simulation Driving Multiplayer Physics Action Indie Sports Singleplayer Realistic Funny Arcade Sandbox Third Person Coop Open World Atmospheric ;27524
475;Borderlands Game of the Year;Gearbox Software K Action RPG Looter Shooter FPS Coop RPG Action Loot Online CoOp FirstPerson Open World Comedy Multiplayer Scifi Postapocalyptic Singleplayer Action Funny Dark Humor Adventure Gore ;27519
476;eFootball PES 2021 SEASON UPDATE;Konami Digital Entertainment Sports Sports Multiplayer Soccer esports Realistic Local Coop Singleplayer CoOp Football Online Psychological Horror Controller Play Simulation TeamBased Casual ;27411
477;What Remains of Edith Finch;Giant Sparrow Annapurna Interactive Adventure Story Rich Atmospheric Walking Simulator FirstPerson Exploration Mystery Adventure Female Protagonist Singleplayer Indie Great Soundtrack Narration Short Drama Psychological Horror Dark Puzzle Visual Novel Lovecraftian ;27345
478;Neverwinter;Cryptic Gearbox Publishing Action Adventure Play mmo RPG Play MMORPG RPG mmo Adventure Multiplayer Fantasy Action Open World Character Customization Coop Dungeons Dragons PvP Action PvE Third Person Hack Slash Atmospheric Zombies ;27196
479;Emily is Away;Kyle Seeley Adventure Casual Play Indie Simulation Play Story Rich Singleplayer Choices Matter Indie Interactive Fiction Simulation Retro Casual Choose Your Own Adventure Visual Novel Romance Pixel Graphics Dating Sim Short TextBased D Funny Horror ;27194
480;Transistor;Supergiant Games Action Indie RPG Great Soundtrack Female Protagonist Indie Cyberpunk Story Rich Scifi Action RPG Singleplayer Beautiful Isometric Atmospheric Action Narration Strategy Tactical Adventure TurnBased Short Hack Slash ;27179
